Constituency Name,YSRCP Predicted,YSRCP Actual,TDP & JNP & BJP Predicted,TDP & JNP & BJP Actual,Congress & CPI Predicted,Congress & CPI Actual,NOTA Predicted,NOTA Actual,Others Predicted,Others Actual,Total Votes Polled,Winning Party Predicted,Winning Party Actual,Win Margin Predicted,Win Margin Actual,Difference
SRIKAKULAM,511312,426427,646935,754328,21103,7172,25099,24605,9679,23154,1235686,TDP,TDP,135622,327901,192279
VIZIANAGARAM,550208,493762,675786,743113,20016,10623,28538,23250,10338,28494,1299242,TDP,TDP,125579,249351,123772
ARUKU,584572,477005,474965,426425,16898,123129,30020,50470,38971,87416,1164445,YSRCP,YSRCP,109607,50580,-59027
VISAKHAPATNAM,538732,403220,776173,907467,17958,30267,16212,5313,21410,40858,1387125,TDP,TDP,237441,504247,266806
ANAKAPALLI,554121,465539,692651,762069,16948,25651,31685,26235,14571,45838,1325332,BJP,BJP,138530,296530,158000
KAKINADA,539449,500208,725685,729699,17956,21109,16761,17220,12404,61567,1329803,JSP,JSP,186235,229491,43256
RAJAHMUNDRY,575251,487376,689117,726515,13729,32508,17363,24435,18170,54463,1325297,BJP,BJP,113866,239139,125273
AMALAPURAM,508004,454785,734277,796981,13913,15082,13526,13518,14299,20740,1301106,TDP,TDP,226273,342196,115923
NARSAPURAM,451733,430541,691158,707343,12338,35213,11483,7677,49840,50220,1230994,BJP,BJP,239426,276802,37376
ELURU,584724,564494,735709,746351,18991,20826,18824,22515,11863,27863,1382049,TDP,TDP,150985,181857,30872
VIJAYAWADA,612154,512069,692729,794154,13855,24106,7766,9193,25923,24883,1364405,TDP,TDP,80575,282085,201510
MACHILIPATANAM,563033,501260,673813,724439,15798,31825,14466,12126,26838,42354,1312004,JSP,JSP,110779,223179,112400
NARASARAOPET,703093,648267,747633,807996,16281,18046,9189,11199,9713,14061,1499569,TDP,TDP,44540,159729,115189
GUNTUR,583508,520253,788817,864948,14912,8637,6591,7387,18154,24146,1425371,TDP,TDP,205309,344695,139386
BAPATLA,593835,509462,653587,717493,15283,43259,9483,13723,15467,16808,1300745,TDP,TDP,59752,208031,148279
ONGOLE,717910,651695,637707,701894,11299,26722,14432,13205,18144,28698,1422214,YSRCP,TDP,80203,50199,-30004
NELLORE,639724,520300,674590,766202,13515,54844,14808,15577,10969,18726,1375649,TDP,TDP,34866,245902,211036
TIRUPATHI,672030,632228,651431,617659,15807,65523,16509,16118,12564,51042,1382570,YSRCP,YSRCP,20599,14569,-6030
KADAPA,525013,605143,474537,542448,285178,141039,9668,16846,9953,16499,1321975,YSRCP,YSRCP,50477,62695,12218
RAJAMPET,673654,644844,594401,568773,21398,53300,14028,11400,13949,54622,1332939,YSRCP,YSRCP,79253,76071,-3182
NANDYAL,642676,589156,697947,701131,16564,56204,12902,10697,17261,47230,1404418,TDP,TDP,55271,111975,56704
KURNOOL,645881,547616,622394,658914,21373,70373,16088,10511,17333,43366,1330780,YSRCP,TDP,23487,111298,87811
ANANTAPUR,631028,579690,719220,768245,46608,43217,13428,9199,12804,40077,1440428,TDP,TDP,88191,188555,100364
HINDUPUR,653996,593107,697642,725534,25498,55059,13117,17971,13025,24668,1416339,TDP,TDP,43646,132427,88781
CHITTOOR,664980,557592,692287,778071,19230,30150,15384,11976,15000,41068,1418857,TDP,TDP,27307,220592,193285
